Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Вид экономической деятельности,Units,Value
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Информация и связь,CUR_LCU,24422.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Информация и связь,CUR_LCU,24367.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Информация и связь,CUR_LCU,30262.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Информация и связь,CUR_LCU,26919.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Информация и связь,CUR_LCU,39038.2
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Финансовая деятельность и страхование,CUR_LCU,18256.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Финансовая деятельность и страхование,CUR_LCU,23772.5
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Финансовая деятельность и страхование,CUR_LCU,19804.3
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Финансовая деятельность и страхование,CUR_LCU,25192.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Финансовая деятельность и страхование,CUR_LCU,21181.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Финансовая деятельность и страхование,CUR_LCU,26902.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Финансовая деятельность и страхование,CUR_LCU,24106.8
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Финансовая деятельность и страхование,CUR_LCU,32503.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Финансовая деятельность и страхование,CUR_LCU,24028.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Финансовая деятельность и страхование,CUR_LCU,31556.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Финансовая деятельность и страхование,CUR_LCU,24482.4
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Финансовая деятельность и страхование,CUR_LCU,32357.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Финансовая деятельность и страхование,CUR_LCU,24810.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Финансовая деятельность и страхование,CUR_LCU,36351.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Финансовая деятельность и страхование,CUR_LCU,28331.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Финансовая деятельность и страхование,CUR_LCU,36192.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Операции с недвижимым имуществом,CUR_LCU,6003.0
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Операции с недвижимым имуществом,CUR_LCU,7571.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Операции с недвижимым имуществом,CUR_LCU,7520.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Операции с недвижимым имуществом,CUR_LCU,8564.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Операции с недвижимым имуществом,CUR_LCU,7942.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Операции с недвижимым имуществом,CUR_LCU,9644.7
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Операции с недвижимым имуществом,CUR_LCU,9733.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Операции с недвижимым имуществом,CUR_LCU,10498.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Операции с недвижимым имуществом,CUR_LCU,10921.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Операции с недвижимым имуществом,CUR_LCU,12427.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Операции с недвижимым имуществом,CUR_LCU,10633.5
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Операции с недвижимым имуществом,CUR_LCU,12024.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Операции с недвижимым имуществом,CUR_LCU,11195.2
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Операции с недвижимым имуществом,CUR_LCU,13722.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Операции с недвижимым имуществом,CUR_LCU,12556.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Операции с недвижимым имуществом,CUR_LCU,13757.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Профессиональная, научная и техническая деятельность",CUR_LCU,10690.0
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Профессиональная, научная и техническая деятельность",CUR_LCU,15826.9
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Профессиональная, научная и техническая деятельность",CUR_LCU,12009.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Профессиональная, научная и техническая деятельность",CUR_LCU,16723.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Профессиональная, научная и техническая деятельность",CUR_LCU,12487.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Профессиональная, научная и техническая деятельность",CUR_LCU,16335.8
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Профессиональная, научная и техническая деятельность",CUR_LCU,13570.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Профессиональная, научная и техническая деятельность",CUR_LCU,19122.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Профессиональная, научная и техническая деятельность",CUR_LCU,17195.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Профессиональная, научная и техническая деятельность",CUR_LCU,14561.4
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Профессиональная, научная и техническая деятельность",CUR_LCU,13596.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Профессиональная, научная и техническая деятельность",CUR_LCU,17860.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Профессиональная, научная и техническая деятельность",CUR_LCU,15840.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Профессиональная, научная и техническая деятельность",CUR_LCU,25270.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Профессиональная, научная и техническая деятельность",CUR_LCU,16417.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Профессиональная, научная и техническая деятельность",CUR_LCU,22722.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,6066.8
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,7583.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,6684.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,8698.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,7577.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,9330.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,9014.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,11180.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,10734.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,11421.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,10033.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,11962.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,11458.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,12358.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,10579.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере административных и вспомогательных услуг,CUR_LCU,13580.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,6571.7
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,9048.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,8196.1
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,10650.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,11594.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,13047.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,11765.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,14003.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,11975.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,14265.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,12925.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,15570.6
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,14505.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,17176.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,15652.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Государственное управление и оборона; обязательное социальное страхование,CUR_LCU,18079.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Образование,CUR_LCU,7361.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Образование,CUR_LCU,8726.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Образование,CUR_LCU,7317.6
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Образование,CUR_LCU,8140.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Образование,CUR_LCU,7214.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Образование,CUR_LCU,8411.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Образование,CUR_LCU,7681.8
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Образование,CUR_LCU,8499.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Образование,CUR_LCU,9970.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Образование,CUR_LCU,10479.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Образование,CUR_LCU,10536.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Образование,CUR_LCU,10653.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Образование,CUR_LCU,10748.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Образование,CUR_LCU,11155.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Образование,CUR_LCU,10691.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Образование,CUR_LCU,11006.4
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9256.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9584.5
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,8892.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9914.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,8994.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,8690.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,8966.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9027.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9394.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9319.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9771.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9519.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9927.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9677.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,10481.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,CUR_LCU,9584.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Искусство, сфера развлечений и отдыха",CUR_LCU,6350.6
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Искусство, сфера развлечений и отдыха",CUR_LCU,7746.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Искусство, сфера развлечений и отдыха",CUR_LCU,6399.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Искусство, сфера развлечений и отдыха",CUR_LCU,6702.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Искусство, сфера развлечений и отдыха",CUR_LCU,7565.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8250.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Искусство, сфера развлечений и отдыха",CUR_LCU,7696.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8975.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8553.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Искусство, сфера развлечений и отдыха",CUR_LCU,9292.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8752.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8221.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8451.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8179.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8799.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Искусство, сфера развлечений и отдыха",CUR_LCU,8061.2
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Прочие виды деятельности в сфере услуг,CUR_LCU,8458.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Прочие виды деятельности в сфере услуг,CUR_LCU,8192.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Прочие виды деятельности в сфере услуг,CUR_LCU,8608.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Прочие виды деятельности в сфере услуг,CUR_LCU,8232.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Прочие виды деятельности в сфере услуг,CUR_LCU,9771.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Прочие виды деятельности в сфере услуг,CUR_LCU,9269.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Прочие виды деятельности в сфере услуг,CUR_LCU,11030.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Прочие виды деятельности в сфере услуг,CUR_LCU,10565.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Прочие виды деятельности в сфере услуг,CUR_LCU,12707.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Прочие виды деятельности в сфере услуг,CUR_LCU,12664.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Прочие виды деятельности в сфере услуг,CUR_LCU,15307.4
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Прочие виды деятельности в сфере услуг,CUR_LCU,14474.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Прочие виды деятельности в сфере услуг,CUR_LCU,18606.6
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Прочие виды деятельности в сфере услуг,CUR_LCU,19061.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Прочие виды деятельности в сфере услуг,CUR_LCU,17807.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Прочие виды деятельности в сфере услуг,CUR_LCU,11649.5
