Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",19.821299
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",34.961644
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",55.911149
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",41.37682
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",40.241049
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",28.386914
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",23.3
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",29.0
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",19.2
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",36.5
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,мужской,"Per 100,000 population",39.1
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",5.50316
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",8.098507
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",9.172137
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",10.666592
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",12.340325
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",8.81898
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",10.6
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",9.7
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",12.2
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",13.3
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,,"Per 100,000 population",13.0
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",2.970668
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",5.410487
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",3.775621
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",4.593246
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",5.16827
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",4.014528
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",5.0
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",8.7
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",8.5
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",9.7
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,женский,"Per 100,000 population",8.1
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",8.418837
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",11.205796
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",15.414575
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",17.679536
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",20.610672
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",14.349121
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",17.1
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",10.9
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",16.5
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",17.4
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Бишкек,мужской,"Per 100,000 population",18.6
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",34.332219
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",24.466209
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",49.505333
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",29.5172
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",23.451516
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",25.566531
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",19.0
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",21.3
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",15.0
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",19.0
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,,"Per 100,000 population",15.1
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",12.747737
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",11.939764
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",26.046124
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",17.921147
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",16.507717
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",20.837209
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",19.0
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",23.0
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",12.0
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",18.7
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,женский,"Per 100,000 population",14.2
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",57.741416
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",38.059146
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",74.890684
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",42.085839
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",31.001175
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",30.700869
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",19.0
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",19.4
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",18.2
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",19.3
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",г. Ош,мужской,"Per 100,000 population",16.0
