Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Составная разбивка,Units,Value
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,2
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,5
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,0
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,1
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,20
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,310
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,271
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,301
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,153
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,230
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,381
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,297
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,271
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,44
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,55
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,24
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,39
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,27
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по болезни,Число,44
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,908
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,812
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,756
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,541
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,644
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,611
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,759
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,599
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,674
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,736
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,716
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,755
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,736
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,811
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по другим причинам,Число,102
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по другим причинам,Число,147
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по другим причинам,Число,144
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по другим причинам,Число,88
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по другим причинам,Число,129
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по другим причинам,Число,241
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по другим причинам,Число,200
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по другим причинам,Число,174
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1360
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1448
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1303
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1122
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1207
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1454
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1575
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1265
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1193
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1170
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,972
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1107
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1149
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,,Число,1204
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,137
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,120
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,101
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,91
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,78
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,61
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,133
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,97
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,44
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,106
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,49
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,90
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,147
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина: материальные трудности,Число,118
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,41
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,86
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,64
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,65
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,46
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,114
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,77
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,24
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,32
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,7
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,19
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,18
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,22
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нежелание родителей,Число,30
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина:  отсутствие необходимых документов (свидетельства о рождении, прописки)",Число,5
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина:  отсутствие необходимых документов (свидетельства о рождении, прописки)",Число,3
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина:  отсутствие необходимых документов (свидетельства о рождении, прописки)",Число,6
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,116
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,94
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,83
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,317
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,215
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,237
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,286
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,230
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,89
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,299
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,132
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,194
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,220
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,272
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,64
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,75
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,55
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,64
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,78
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,127
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,46
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,31
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,46
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,49
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,41
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,12
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,10
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  нет желания учиться,Число,73
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,31
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,22
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,39
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,24
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,7
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,13
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,36
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,13
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,10
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,5
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,9
