Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,99.9
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,99.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,96.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,97.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,99.425085
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,,PT,96.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,,PT,97.2
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,,PT,94.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,,PT,92.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Баткенская область,PT,97.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Баткенская область,PT,99.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Баткенская область,PT,96.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Баткенская область,PT,94.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Джалал-Абадская область,PT,97.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Джалал-Абадская область,PT,95.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Джалал-Абадская область,PT,94.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Джалал-Абадская область,PT,93.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Иссык-Кульская область,PT,98.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Иссык-Кульская область,PT,96.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Иссык-Кульская область,PT,96.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Иссык-Кульская область,PT,95.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Нарынская область,PT,96.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Нарынская область,PT,96.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Нарынская область,PT,97.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Нарынская область,PT,95.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Ошская область,PT,96.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Ошская область,PT,98.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Ошская область,PT,97.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Ошская область,PT,92.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Таласская область,PT,97.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Таласская область,PT,96.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Таласская область,PT,94.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Таласская область,PT,96.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Чуйская область,PT,97.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Чуйская область,PT,98.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Чуйская область,PT,92.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,Чуйская область,PT,92.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,г. Бишкек,PT,95.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,г. Бишкек,PT,94.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,г. Бишкек,PT,90.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,г. Бишкек,PT,83.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,г. Ош,PT,97.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,г. Ош,PT,96.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,г. Ош,PT,90.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_PCV3,г. Ош,PT,93.9
