Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),пол,Units,Value
2011,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",90.229385
2012,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",97.405136
2013,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",110.2
2014,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",108.1
2015,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",103.1
2016,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",92.2
2017,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",91.3
2018,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",75.045722
2007,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",232.39882599999999
2008,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",146.69989099999998
2009,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",142.327909
2010,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",137.6
2011,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",143.52973899999998
2012,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",153.949048
2013,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",145.0
2014,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",162.1
2015,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",167.0
2016,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",140.2
2017,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",137.8
2018,Annual,National,Tuberculosis incidence,г. Бишкек,мужской,"Per 100,000 population",133.887972
2007,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",103.296686
2008,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",99.531522
2009,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",99.784188
2010,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",85.444525
2011,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",88.724902
2012,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",98.39240799999999
2013,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",83.705251
2014,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",103.082002
2015,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",89.736358
2016,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",92.52618000000001
2017,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",89.7
2018,Annual,National,Tuberculosis incidence,г. Ош,,"Per 100,000 population",84.314452
2007,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",83.113365
2008,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",63.749058999999995
2009,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",82.603422
2010,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",68.0
2011,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",75.03507900000001
2012,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",78.139535
2013,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",64.4
2014,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",92.2
2015,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",78.5
2016,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",77.6
2017,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",75.3
2018,Annual,National,Tuberculosis incidence,г. Ош,женский,"Per 100,000 population",83.024189
2007,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",125.184647
2008,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",138.35178
2009,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",118.375597
2010,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",104.4
2011,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",103.609189
2012,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",120.37972099999999
2013,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",104.5
2014,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",114.8
2015,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",101.8
2016,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",108.5
2017,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",105.2
2018,Annual,National,Tuberculosis incidence,г. Ош,мужской,"Per 100,000 population",85.689803
