Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,242.4
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,232.8
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,248.9
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,290.1
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,273.8
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,268.0
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,281.9
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,298.7
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,266.8
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,270.1
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,253.5
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,248.9
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,240.4
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,223.4
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,57.1
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,58.2
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,60.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,59.4
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,61.3
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,59.4
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,61.0
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,64.3
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,64.5
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,64.4
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,62.2
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,65.6
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,32.3
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,26.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,30.2
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,33.8
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,33.9
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,33.0
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,32.1
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,35.6
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,42.3
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,38.6
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,32.6
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,43.3
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,36.3
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,42.0
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,47.8
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,46.3
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,51.5
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,47.3
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,49.2
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,51.0
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,52.9
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,54.2
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,50.9
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,49.5
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,74.6
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,72.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,78.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,73.4
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,74.0
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,84.8
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,81.8
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,85.2
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,89.1
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,83.9
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,80.9
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,90.5
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,70.8
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,72.0
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,72.0
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,66.7
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,81.9
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,63.8
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,78.2
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,82.4
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,89.5
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,88.1
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,81.8
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,87.9
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,38.1
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,36.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,40.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,40.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,43.6
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,43.0
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,43.0
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,50.7
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,50.6
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,49.9
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,49.1
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,51.0
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,47.2
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,54.7
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,59.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,66.0
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,59.9
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,58.5
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,68.3
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,68.9
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,60.6
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,70.7
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,62.6
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,59.7
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,88.1
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,91.2
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,95.3
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,89.6
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,92.0
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,91.5
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,88.3
