Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2013,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Женщины,На 100 000 населения,2.9
2014,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Женщины,На 100 000 населения,5.8
2015,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Женщины,На 100 000 населения,2.8
2016,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Женщины,На 100 000 населения,2.1
2017,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Женщины,На 100 000 населения,2.0
2018,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Женщины,На 100 000 населения,4.0
2010,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Мужчины,На 100 000 населения,57.5
2013,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Мужчины,На 100 000 населения,34.8
2014,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Мужчины,На 100 000 населения,39.6
2015,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Мужчины,На 100 000 населения,38.0
2016,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Мужчины,На 100 000 населения,32.7
2017,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Мужчины,На 100 000 населения,21.8
2018,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,г. Ош,Мужчины,На 100 000 населения,47.8
