Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2014,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,19.854368
2015,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,25.206391
2016,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,10.893361
2017,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,17.858219
2018,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,16.325681
2007,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,0.0
2008,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,0.0
2009,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,0.0
2010,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,0.0
2011,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,0.0
2012,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,0.0
2013,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,40.875893
2014,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,33.421786
2015,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,38.278868
2016,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,24.59944
2017,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,33.489021
2018,Annual,National,Proportion of population living below the national poverty line,г. Ош,,Процент,35.470048
2007,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,0.0
2008,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,0.0
2009,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,0.0
2010,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,0.0
2011,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,0.0
2012,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,0.0
2013,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,40.214977
2014,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,31.961883
2015,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,35.847234
2016,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,23.187149
2017,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,30.888271
2018,Annual,National,Proportion of population living below the national poverty line,г. Ош,мужской,Процент,33.89696
2007,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,0.0
2008,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,0.0
2009,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,0.0
2010,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,0.0
2011,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,0.0
2012,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,0.0
2013,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,41.620642
2014,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,35.041318
2015,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,41.029123
2016,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,26.170219
2017,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,36.383303
2018,Annual,National,Proportion of population living below the national poverty line,г. Ош,женский,Процент,37.27373
