Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.COMPOSITE_BREAKDOWN,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,114
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,89
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,241
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,218
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,108
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_TRANSPORT,CL_UNIT_MEASURE.NUMBER,2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_TRANSPORT,CL_UNIT_MEASURE.NUMBER,3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_TRANSPORT,CL_UNIT_MEASURE.NUMBER,2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_TRANSPORT,CL_UNIT_MEASURE.NUMBER,3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SEASWORK,CL_UNIT_MEASURE.NUMBER,19
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SEASWORK,CL_UNIT_MEASURE.NUMBER,26
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SEASWORK,CL_UNIT_MEASURE.NUMBER,98
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SEASWORK,CL_UNIT_MEASURE.NUMBER,6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SEASWORK,CL_UNIT_MEASURE.NUMBER,2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SEASWORK,CL_UNIT_MEASURE.NUMBER,11
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_AGE,CL_UNIT_MEASURE.NUMBER,2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_AGE,CL_UNIT_MEASURE.NUMBER,5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_AGE,CL_UNIT_MEASURE.NUMBER,0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_AGE,CL_UNIT_MEASURE.NUMBER,1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_AGE,CL_UNIT_MEASURE.NUMBER,20
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,310
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,271
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,301
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,153
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,230
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,381
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,297
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,271
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,44
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,55
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,24
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,39
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,27
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_SICK,CL_UNIT_MEASURE.NUMBER,44
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,908
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,812
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,756
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,541
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,644
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,611
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,759
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,599
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,674
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,736
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,716
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,755
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,736
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DISAB,CL_UNIT_MEASURE.NUMBER,811
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_OTHER,CL_UNIT_MEASURE.NUMBER,102
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_OTHER,CL_UNIT_MEASURE.NUMBER,147
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_OTHER,CL_UNIT_MEASURE.NUMBER,144
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_OTHER,CL_UNIT_MEASURE.NUMBER,88
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_OTHER,CL_UNIT_MEASURE.NUMBER,129
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_OTHER,CL_UNIT_MEASURE.NUMBER,241
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_OTHER,CL_UNIT_MEASURE.NUMBER,200
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_OTHER,CL_UNIT_MEASURE.NUMBER,174
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1360
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1448
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1303
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1122
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1207
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1454
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1575
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1265
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1193
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1170
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,972
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1107
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1149
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1204
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,137
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,120
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,101
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,91
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,78
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,61
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,133
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,97
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,44
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,106
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,49
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,90
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,147
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,118
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,41
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,86
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,64
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,65
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,46
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,114
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,77
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,24
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,32
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,19
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,18
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,22
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,30
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NODOC,CL_UNIT_MEASURE.NUMBER,5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NODOC,CL_UNIT_MEASURE.NUMBER,3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NODOC,CL_UNIT_MEASURE.NUMBER,6
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,116
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,94
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,83
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,317
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,215
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,237
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,286
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,230
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.F,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,89
