Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.AGE,concept.URBANISATION,Units,Value
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,67.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,65.9
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,65.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,10.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,12.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,15.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,16.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,17.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,19.3
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,21.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,12.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,16.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,16.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,18.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,19.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,21.1
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,21.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,24.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,27.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,26.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,30.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,32.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,33.5
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,35.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,9.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,12.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,13.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,14.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,15.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,17.7
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG08,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,18.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG11,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,31.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG11,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,29.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG11,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,27.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG11,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,28.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG11,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,29.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG11,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,29.5
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG11,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,28.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG21,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,41.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG21,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,49.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG21,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,48.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG21,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,49.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG21,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,47.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG21,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,48.8
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG21,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,43.3
