Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Composite breakdown,Units,Value
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",NUMBER,6
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,116
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,94
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,83
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,317
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,215
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,237
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,286
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,230
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,89
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,299
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,132
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,194
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,220
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: for domestic reasons,NUMBER,272
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,64
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,75
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,55
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,64
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,78
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,127
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,46
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,31
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,46
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,49
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,41
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,12
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,10
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: no wishes to learn,NUMBER,73
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,31
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,22
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,39
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,24
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,7
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,13
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,36
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,13
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,10
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,11
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: troubled families,NUMBER,10
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,14
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,1
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,2
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,6
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,20
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,21
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,1
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,1
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,3
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: lack knowledge of language,NUMBER,0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: married, pregnant, they became parents ( mother, father )",NUMBER,4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: married, pregnant, they became parents ( mother, father )",NUMBER,3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: married, pregnant, they became parents ( mother, father )",NUMBER,0
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,39
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,144
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,94
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,40
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,66
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,74
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,115
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,88
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,380
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,75
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,60
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,204
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,199
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: working,NUMBER,121
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause:  lack of transportation (school too far from home),NUMBER,2
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,79
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,18
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,196
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,213
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,219
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,99
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,195
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,260
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,233
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,213
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,45
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,60
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,14
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,36
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,20
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: because of sickness ,NUMBER,31
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,658
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,585
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,535
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,349
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,391
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,393
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,515
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,410
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,531
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,554
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,564
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,542
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,517
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: Children with disabilities,NUMBER,525
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: other reasons,NUMBER,64
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: other reasons,NUMBER,108
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: other reasons,NUMBER,111
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: other reasons,NUMBER,67
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: other reasons,NUMBER,111
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: other reasons,NUMBER,154
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: other reasons,NUMBER,133
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: other reasons,NUMBER,158
