Year,Frequency of observation,Reporting type,SDG Series,Reference area,Sex,Unit of measure,Value
2018,Annual,National,Proportion of population living below the national poverty line,Osh (city),,Percent,35.470048
2007,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,0.0
2008,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,0.0
2009,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,0.0
2010,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,0.0
2011,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,0.0
2012,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,0.0
2013,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,40.214977
2014,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,31.961883
2015,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,35.847234
2016,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,23.187149
2017,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,30.888271
2018,Annual,National,Proportion of population living below the national poverty line,Osh (city),Male,Percent,33.89696
2007,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,0.0
2008,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,0.0
2009,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,0.0
2010,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,0.0
2011,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,0.0
2012,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,0.0
2013,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,41.620642
2014,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,35.041318
2015,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,41.029123
2016,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,26.170219
2017,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,36.383303
2018,Annual,National,Proportion of population living below the national poverty line,Osh (city),Female,Percent,37.27373
